y1,phi
0.0,0.8532173290246421
0.001,0.8536146492726663
0.002,0.8540113386782954
0.003,0.854407397983487
0.004,0.8548028279282426
0.005,0.8551976292506152
0.006,0.8555918026867154
0.007,0.8559853489707195
0.008,0.8563782688348759
0.009000000000000001,0.8567705630095128
0.01,0.8571622322230439
0.011,0.8575532772019764
0.012,0.8579436986709174
0.013000000000000001,0.8583334973525808
0.014,0.8587226739677941
0.015,0.8591112292355053
0.016,0.8594991638727898
0.017,0.8598864785948566
0.018000000000000002,0.8602731741150552
0.019,0.8606592511448828
0.02,0.8610447103939899
0.021,0.8614295525701879
0.022,0.8618137783794553
0.023,0.8621973885259436
0.024,0.8625803837119854
0.025,0.8629627646380987
0.026000000000000002,0.8633445320029954
0.027,0.8637256865035866
0.028,0.8641062288349884
0.029,0.864486159690531
0.03,0.8648654797617611
0.031,0.8652441897384512
0.032,0.8656222903086055
0.033,0.8659997821584641
0.034,0.8663766659725115
0.035,0.8667529424334821
0.036000000000000004,0.867128612222366
0.037,0.8675036760184152
0.038,0.8678781344991499
0.039,0.868251988340365
0.04,0.8686252382161356
0.041,0.8689978847988225
0.042,0.8693699287590791
0.043000000000000003,0.8697413707658576
0.044,0.8701122114864139
0.045,0.8704824515863143
0.046,0.8708520917294409
0.047,0.8712211325779986
0.048,0.8715895747925185
0.049,0.8719574190318672
0.05,0.8723246659532482
0.051000000000000004,0.8726913162122127
0.052000000000000005,0.8730573704626616
0.053,0.8734228293568517
0.054,0.8737876935454034
0.055,0.8741519636773044
0.056,0.8745156403999157
0.057,0.8748787243589774
0.058,0.8752412161986155
0.059000000000000004,0.8756031165613452
0.06,0.8759644260880777
0.061,0.8763251454181256
0.062,0.8766852751892088
0.063,0.8770448160374594
0.064,0.8774037685974267
0.065,0.8777621335020839
0.066,0.8781199113828327
0.067,0.8784771028695078
0.068,0.8788337085903842
0.069,0.8791897291721819
0.07,0.8795451652400691
0.07100000000000001,0.8799000174176713
0.07200000000000001,0.8802542863270726
0.073,0.8806079725888236
0.074,0.8809610768219464
0.075,0.8813135996439382
0.076,0.8816655416707773
0.077,0.8820169035169295
0.078,0.8823676857953513
0.079,0.8827178891174957
0.08,0.883067514093318
0.081,0.8834165613312794
0.082,0.8837650314383536
0.083,0.8841129250200306
0.084,0.8844602426803223
0.085,0.8848069850217674
0.08600000000000001,0.8851531526454357
0.08700000000000001,0.8854987461509345
0.088,0.8858437661364119
0.089,0.8861882131985629
0.09,0.8865320879326332
0.091,0.8868753909324242
0.092,0.8872181227902995
0.093,0.8875602840971875
0.094,0.8879018754425871
0.095,0.8882428974145722
0.096,0.8885833505997971
0.097,0.888923235583501
0.098,0.8892625529495116
0.099,0.8896013032802516
0.1,0.889939487156742
0.101,0.8902771051586063
0.10200000000000001,0.8906141578640772
0.10300000000000001,0.8909506458499998
0.10400000000000001,0.8912865696918355
0.105,0.8916219299636683
0.106,0.8919567272382083
0.107,0.8922909620867955
0.108,0.8926246350794059
0.109,0.8929577467846552
0.11,0.8932902977698041
0.111,0.893622288600759
0.112,0.8939537198420839
0.113,0.8942845920569962
0.114,0.8946149058073776
0.115,0.894944661653775
0.116,0.8952738601554058
0.117,0.8956025018701637
0.11800000000000001,0.8959305873546197
0.11900000000000001,0.89625811716403
0.12,0.8965850918523379
0.121,0.8969115119721787
0.122,0.8972373780748839
0.123,0.8975626907104866
0.124,0.8978874504277234
0.125,0.8982116577740409
0.126,0.8985353132955982
0.127,0.898858417537272
0.128,0.8991809710426599
0.129,0.8995029743540863
0.13,0.8998244280126045
0.131,0.9001453325580012
0.132,0.9004656885288014
0.133,0.9007854964622719
0.134,0.901104756894426
0.135,0.9014234703600261
0.136,0.9017416373925892
0.137,0.9020592585243893
0.138,0.9023763342864641
0.139,0.9026928652086157
0.14,0.9030088518194164
0.14100000000000001,0.9033242946462126
0.14200000000000002,0.9036391942151275
0.14300000000000002,0.9039535510510677
0.14400000000000002,0.904267365677723
0.145,0.9045806386175739
0.146,0.9048933703918938
0.147,0.9052055615207526
0.148,0.9055172125230218
0.149,0.9058283239163771
0.15,0.9061388962173018
0.151,0.9064489299410932
0.152,0.906758425601863
0.153,0.9070673837125423
0.154,0.9073758047848874
0.155,0.9076836893294795
0.156,0.9079910378557317
0.157,0.9082978508718919
0.158,0.9086041288850454
0.159,0.9089098724011186
0.16,0.9092150819248856
0.161,0.9095197579599672
0.162,0.9098239010088374
0.163,0.9101275115728273
0.164,0.9104305901521268
0.165,0.9107331372457895
0.166,0.9110351533517357
0.167,0.9113366389667568
0.168,0.9116375945865173
0.169,0.9119380207055594
0.17,0.912237917817306
0.171,0.9125372864140654
0.17200000000000001,0.912836126987033
0.17300000000000001,0.9131344400262953
0.17400000000000002,0.9134322260208338
0.17500000000000002,0.913729485458529
0.176,0.9140262188261614
0.177,0.9143224266094176
0.178,0.9146181092928927
0.179,0.9149132673600927
0.18,0.9152079012934395
0.181,0.915502011574273
0.182,0.9157955986828548
0.183,0.9160886630983721
0.184,0.9163812052989395
0.185,0.9166732257616047
0.186,0.9169647249623489
0.187,0.9172557033760922
0.188,0.9175461614766963
0.189,0.9178360997369674
0.19,0.9181255186286599
0.191,0.9184144186224789
0.192,0.9187028001880837
0.193,0.9189906637940919
0.194,0.9192780099080813
0.195,0.9195648389965929
0.196,0.9198511515251364
0.197,0.9201369479581902
0.198,0.9204222287592064
0.199,0.9207069943906141
0.2,0.9209912453138213
0.201,0.9212749819892176
0.202,0.9215582048761805
0.203,0.9218409144330745
0.20400000000000001,0.9221231111172566
