t[K],phi
273.0,0.9847724189760094
273.8,0.9834919054889372
274.6,0.9823021819848994
275.40000000000003,0.9811960443989235
276.20000000000005,0.9801670480044978
277.00000000000006,0.9792094052846829
277.80000000000007,0.9783179004542744
278.6000000000001,0.9774878174663224
279.4000000000001,0.9767148790196961
280.2000000000001,0.9759951946037737
281.0000000000001,0.9753252160148409
281.8000000000001,0.9747016990872103
282.60000000000014,0.9741216706227902
283.40000000000015,0.9735823996921016
284.20000000000016,0.9730813726297007
285.00000000000017,0.9726162711665207
285.8000000000002,0.9721849532376499
286.6000000000002,0.9717854360815297
287.4000000000002,0.971415881309541
288.2000000000002,0.9710745816762989
289.0000000000002,0.970759949323194
289.80000000000024,0.9704705053024818
290.60000000000025,0.9702048702180712
291.40000000000026,0.9699617558431295
292.2000000000003,0.9697399575947061
293.0000000000003,0.9695383477623698
293.8000000000003,0.9693558694020531
294.6000000000003,0.9691915308182739
295.4000000000003,0.969044400568065
296.20000000000033,0.9689136029286136
297.00000000000034,0.9687983137779936
297.80000000000035,0.9686977568447108
298.60000000000036,0.968611200287234
299.4000000000004,0.9685379535693512
300.2000000000004,0.9684773646012791
301.0000000000004,0.9684288171199269
301.8000000000004,0.9683917282848014
302.6000000000004,0.9683655464686679
303.40000000000043,0.9683497492244246
304.20000000000044,0.9683438414116605
305.00000000000045,0.9683473534681493
305.80000000000047,0.9683598398131047
306.6000000000005,0.9683808773703859
307.4000000000005,0.9684100642010633
308.2000000000005,0.9684470182358313
309.0000000000005,0.9684913760986991
309.8000000000005,0.9685427920142375
310.60000000000053,0.968600936791413
311.40000000000055,0.9686654968777073
312.20000000000056,0.9687361734778066
313.00000000000057,0.9688126817316979
313.8000000000006,0.9688947499474614
314.6000000000006,0.9689821188844983
315.4000000000006,0.9690745410832977
316.2000000000006,0.9691717802382019
317.0000000000006,0.9692735869218198
317.80000000000064,0.9693797943366864
318.60000000000065,0.9694901709229015
319.40000000000066,0.9696045194758622
320.20000000000067,0.969722651349421
321.0000000000007,0.9698443860276073
321.8000000000007,0.9699695507217192
322.6000000000007,0.9700979799910308
323.4000000000007,0.9702295153854953
324.2000000000007,0.9703640051089506
325.00000000000074,0.9705013037014543
325.80000000000075,0.9706412717394786
326.60000000000076,0.9707837755527934
327.4000000000008,0.9709286869569504
328.2000000000008,0.9710758830003668
329.0000000000008,0.9712252457250806
329.8000000000008,0.9713766619403124
330.6000000000008,0.9715300230080379
331.40000000000083,0.9716852246398295
332.20000000000084,0.9718421667042709
333.00000000000085,0.9720007530443162
333.80000000000086,0.9721608913039814
334.6000000000009,0.9723224927638286
335.4000000000009,0.9724854721847132
336.2000000000009,0.9726497476593171
337.0000000000009,0.972815240471018
337.8000000000009,0.9729818749596716
338.60000000000093,0.9731495783939146
339.40000000000094,0.9733182808496252
340.20000000000095,0.9734879150941892
341.00000000000097,0.9736584164762582
341.800000000001,0.9738297228206964
342.600000000001,0.9740017743284277
343.400000000001,0.9741745134809294
344.200000000001,0.974347884949113
345.000000000001,0.9745218355063681
345.80000000000103,0.9746963139455418
346.60000000000105,0.9748712709996571
347.40000000000106,0.9750466592661664
348.20000000000107,0.9752224331345685
349.0000000000011,0.9753985487172085
349.8000000000011,0.9755749637831067
350.6000000000011,0.9757516376946558
351.4000000000011,0.975928531347057
352.2000000000011,0.9761056071103421
353.00000000000114,0.976282828773867
353.80000000000115,0.9764601614931541
354.60000000000116,0.976637571738963
355.40000000000117,0.9768150272484933
356.2000000000012,0.9769924969786075
357.0000000000012,0.977169951060981
357.8000000000012,0.9773473607590952
358.6000000000012,0.9775246984269784
359.4000000000012,0.9777019374696151
360.20000000000124,0.9778790523049551
361.00000000000125,0.9780560183274343
361.80000000000126,0.9782328118729536
362.6000000000013,0.9784094101852392
363.4000000000013,0.9785857913835254
364.2000000000013,0.9787619344315058
365.0000000000013,0.9789378191074863
365.8000000000013,0.9791134259756962
366.60000000000133,0.9792887363587046
367.40000000000134,0.9794637323108885
368.20000000000135,0.9796383965929136
369.00000000000136,0.9798127126471823
369.8000000000014,0.9799866645742058
370.6000000000014,0.9801602371098626
371.4000000000014,0.9803334156035053
372.2000000000014,0.9805061859968811
373.0000000000014,0.9806785348038307
373.80000000000143,0.9808504490907327
374.60000000000144,0.981021916457666
375.40000000000146,0.9811929250202573
376.20000000000147,0.9813634633921857
377.0000000000015,0.9815335206683213
377.8000000000015,0.9817030864084684
378.6000000000015,0.9818721506216891
379.4000000000015,0.98204070375119
380.2000000000015,0.9822087366597376
381.00000000000153,0.9823762406155975
381.80000000000155,0.9825432072789599
382.60000000000156,0.9827096286888475
383.40000000000157,0.9828754972504747
384.2000000000016,0.9830408057230513
385.0000000000016,0.9832055472080028
385.8000000000016,0.9833697151376002
386.6000000000016,0.9835333032639824
387.4000000000016,0.9836963056485466
388.20000000000164,0.983858716651709
389.00000000000165,0.9840205309230088
389.80000000000166,0.9841817433915467
390.60000000000167,0.9843423492567469
391.4000000000017,0.9845023439794307
392.2000000000017,0.984661723273186
393.0000000000017,0.9848204830960281
393.8000000000017,0.9849786196423351
394.6000000000017,0.9851361293350523
395.40000000000174,0.9852930088181542
396.20000000000175,0.9854492549493532
397.00000000000176,0.9856048647930495
397.8000000000018,0.9857598356135111
398.6000000000018,0.9859141648682761
399.4000000000018,0.9860678502017692
400.2000000000018,0.9862208894391273
401.0000000000018,0.9863732805802232
401.80000000000183,0.9865250217938808
402.60000000000184,0.9866761114122802
403.40000000000185,0.9868265479255383
404.20000000000186,0.986976329976466
405.0000000000019,0.9871254563554893
