p[bar],phi
27.1,0.9969679436379075
27.2,0.9969668831792737
27.3,0.9969659001827346
27.4,0.9969649946792899
27.5,0.9969641666999007
27.6,0.9969634162754895
27.7,0.9969627434369399
27.8,0.9969621482150951
27.9,0.9969616306407585
28.0,0.9969611907446952
28.1,0.9969608285576284
28.2,0.9969605441102412
28.3,0.9969603374331768
28.4,0.9969602085570375
28.5,0.9969601575123829
28.6,0.9969601843297335
28.7,0.9969602890395666
28.8,0.9969604716723182
28.9,0.9969607322583826
29.0,0.9969610708281106
29.1,0.996961487411812
29.2,0.996961982039753
29.3,0.9969625547421566
29.4,0.9969632055492024
29.5,0.9969639344910273
29.6,0.9969647415977239
29.7,0.9969656268993405
29.8,0.9969665904258815
29.9,0.9969676322073074
30.0,0.9969687522735324
30.1,0.9969699506544274
30.2,0.996971227379817
30.3,0.9969725824794804
30.4,0.9969740159831513
30.5,0.9969755279205177
30.6,0.9969771183212205
30.7,0.9969787872148551
30.8,0.9969805346309694
30.9,0.996982360599065
31.0,0.9969842651485954
31.1,0.9969862483089673
31.2,0.9969883101095395
31.3,0.9969904505796228
31.4,0.9969926697484797
31.5,0.9969949676453238
31.6,0.9969973442993206
31.7,0.9969997997395863
31.8,0.9970023339951878
31.9,0.9970049470951428
32.0,0.9970076390684182
32.1,0.9970104099439321
32.2,0.9970132597505517
32.3,0.9970161885170934
32.4,0.9970191962723229
32.5,0.9970222830449558
32.6,0.9970254488636553
32.7,0.9970286937570325
32.8,0.9970320177536484
32.9,0.9970354208820097
33.0,0.9970389031705723
33.1,0.9970424646477394
33.2,0.9970461053418607
33.3,0.9970498252812321
33.4,0.997053624494098
33.5,0.9970575030086468
33.6,0.9970614608530146
33.7,0.9970654980552827
33.8,0.9970696146434775
33.9,0.9970738106455714
34.0,0.9970780860894803
34.1,0.9970824410030671
34.2,0.9970868754141369
34.3,0.9970913893504403
34.4,0.9970959828396706
34.5,0.9971006559094662
34.6,0.9971054085874069
34.7,0.9971102409010175
34.8,0.9971151528777644
34.9,0.9971201445450573
35.0,0.9971252159302469
35.1,0.9971303670606269
35.2,0.9971355979634321
35.3,0.9971409086658393
35.4,0.9971462991949659
35.5,0.9971517695778703
35.6,0.9971573198415518
35.7,0.9971629500129491
35.8,0.9971686601189422
35.9,0.9971744501863495
36.0,0.99718032024193
36.1,0.997186270312381
36.2,0.9971923004243393
36.3,0.9971984106043796
36.4,0.9972046008790159
36.5,0.9972108712746994
36.6,0.9972172218178201
36.7,0.9972236525347037
36.8,0.997230163451615
36.9,0.9972367545947544
37.0,0.9972434259902601
37.1,0.997250177664205
37.2,0.9972570096426
37.3,0.9972639219513904
37.4,0.9972709146164568
37.5,0.9972779876636165
37.6,0.99728514111862
37.7,0.9972923750071541
37.8,0.9972996893548383
37.9,0.9973070841872271
38.0,0.9973145595298082
38.1,0.9973221154080036
38.2,0.9973297518471678
38.3,0.997337468872588
38.4,0.9973452665094843
38.5,0.9973531447830095
38.6,0.9973611037182479
38.7,0.9973691433402154
38.8,0.9973772636738594
38.9,0.9973854647440585
39.0,0.9973937465756222
39.1,0.997402109193291
39.2,0.997410552621734
39.3,0.9974190768855522
39.4,0.9974276820092749
39.5,0.9974363680173614
39.6,0.9974451349341995
39.7,0.9974539827841062
39.8,0.9974629115913267
39.9,0.9974719213800348
40.0,0.9974810121743314
40.1,0.9974901839982451
40.2,0.9974994368757322
40.3,0.9975087708306756
40.4,0.9975181858868849
40.5,0.997527682068096
40.6,0.997537259397971
40.7,0.9975469179000971
40.8,0.9975566575979877
40.9,0.997566478515081
41.0,0.99757638067474
41.1,0.997586364100252
41.2,0.9975964288148288
41.3,0.9976065748416061
41.4,0.9976168022036428
41.5,0.9976271109239216
41.6,0.9976375010253478
41.7,0.9976479725307494
41.8,0.9976585254628769
41.9,0.9976691598444025
42.0,0.9976798756979207
42.1,0.9976906730459472
42.2,0.9977015519109182
42.3,0.997712512315192
42.4,0.9977235542810456
42.5,0.9977346778306775
42.6,0.9977458829862061
42.7,0.9977571697696687
42.8,0.9977685382030227
42.9,0.9977799883081427
43.0,0.9977915201068239
